,inns_number,bat,team,bowl,opposition,ball,ball_id,outs,dismissal,over,phase,noball,wide,date,year,ground,country,bat_hand,bowl_style,bowl_kind,bowl_category,runs,balls,line,length,shot,control,inns,1s,2s,3s,4s,5s,6s,bowler_dismissed?,dots
208,1.0,Shubman Gill,Kolkata Knight Riders,Imran Tahir,Chennai Super Kings,3.0,16.03,0,,17.0,Slog,0.0,0.0,2019-04-14,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
207,1.0,Shubman Gill,Kolkata Knight Riders,Imran Tahir,Chennai Super Kings,2.0,16.02,0,,17.0,Slog,0.0,0.0,2019-04-14,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,0.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
205,1.0,Shubman Gill,Kolkata Knight Riders,Imran Tahir,Chennai Super Kings,7.0,14.07,0,,15.0,Middle,0.0,0.0,2019-04-14,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
206,1.0,Shubman Gill,Kolkata Knight Riders,Imran Tahir,Chennai Super Kings,1.0,16.01,0,,17.0,Slog,0.0,0.0,2019-04-14,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,2.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,1.0,1,0,1,0,0,0,0,0,0
1385,2.0,Shubman Gill,Kolkata Knight Riders,Navdeep Saini,Royal Challengers Bangalore,1.0,3.01,0,,4.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,0,0,0,0,0,0,0,1
1383,2.0,Shubman Gill,Kolkata Knight Riders,Navdeep Saini,Royal Challengers Bangalore,5.0,1.05,0,,2.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
506,2.0,Shubman Gill,Kolkata Knight Riders,Dale Steyn,Royal Challengers Bangalore,4.0,4.04,0,,5.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,COVER_DRIVE,1.0,1,0,0,0,1,0,0,0,0
505,2.0,Shubman Gill,Kolkata Knight Riders,Dale Steyn,Royal Challengers Bangalore,2.0,4.02,0,,5.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,3.0,1.0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,FLICK,1.0,1,0,0,1,0,0,0,0,0
504,2.0,Shubman Gill,Kolkata Knight Riders,Dale Steyn,Royal Challengers Bangalore,1.0,4.01,0,,5.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,ON_THE_STUMPS,FULL,ON_DRIVE,1.0,1,0,0,0,0,0,0,0,1
508,2.0,Shubman Gill,Kolkata Knight Riders,Dale Steyn,Royal Challengers Bangalore,6.0,4.06,1,caught,5.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,0.0,1,0,0,0,0,0,0,1,1
1386,2.0,Shubman Gill,Kolkata Knight Riders,Navdeep Saini,Royal Challengers Bangalore,2.0,3.02,0,,4.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,PUSH,0.0,1,0,0,0,0,0,0,0,1
1387,2.0,Shubman Gill,Kolkata Knight Riders,Navdeep Saini,Royal Challengers Bangalore,3.0,3.03,0,,4.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
1388,2.0,Shubman Gill,Kolkata Knight Riders,Navdeep Saini,Royal Challengers Bangalore,6.0,3.06,0,,4.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,ON_DRIVE,0.0,1,1,0,0,0,0,0,0,0
507,2.0,Shubman Gill,Kolkata Knight Riders,Dale Steyn,Royal Challengers Bangalore,5.0,4.05,0,,5.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
1384,2.0,Shubman Gill,Kolkata Knight Riders,Navdeep Saini,Royal Challengers Bangalore,6.0,1.06,0,,2.0,PP,0.0,0.0,2019-04-19,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,SLOG_SHOT,0.0,1,0,0,0,0,0,0,0,1
322,1.0,Shubman Gill,Kolkata Knight Riders,Sandeep Sharma,Sunrisers Hyderabad,4.0,3.04,0,,4.0,PP,0.0,0.0,2019-04-21,2019.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,RHB,RM,pace bowler,RAP,1.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
321,1.0,Shubman Gill,Kolkata Knight Riders,Sandeep Sharma,Sunrisers Hyderabad,2.0,3.02,0,,4.0,PP,0.0,0.0,2019-04-21,2019.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,RHB,RM,pace bowler,RAP,1.0,1.0,ON_THE_STUMPS,FULL,FLICK,1.0,1,1,0,0,0,0,0,0,0
688,1.0,Shubman Gill,Kolkata Knight Riders,Khaleel Ahmed,Sunrisers Hyderabad,5.0,2.05,0,,3.0,PP,0.0,0.0,2019-04-21,2019.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,RHB,LM,pace bowler,LAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,PUSH,1.0,1,1,0,0,0,0,0,0,0
689,1.0,Shubman Gill,Kolkata Knight Riders,Khaleel Ahmed,Sunrisers Hyderabad,2.0,4.02,1,caught,5.0,PP,0.0,0.0,2019-04-21,2019.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,RHB,LM,pace bowler,LAP,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,SQUARE_DRIVE,0.0,1,0,0,0,0,0,0,1,1
1288,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,2.0,2.02,0,,3.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
1289,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,3.0,2.03,0,,3.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,0,0,0,0,0,0,0,1
1083,1.0,Shubman Gill,Kolkata Knight Riders,Oshane Thomas,Rajasthan Royals,2.0,3.02,0,,4.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,ON_THE_STUMPS,FULL,ON_DRIVE,1.0,1,0,0,0,0,0,0,0,1
1290,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,4.0,2.04,0,,3.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
1287,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,1.0,2.01,0,,3.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
1291,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,2.0,4.02,0,,5.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,2.0,1.0,WIDE_OUTSIDE_OFFSTUMP,FULL,SQUARE_DRIVE,1.0,1,0,1,0,0,0,0,0,0
1294,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,5.0,4.05,0,,5.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,FLICK,1.0,1,0,0,0,0,0,0,0,1
1295,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,6.0,4.06,1,bowled,5.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,0.0,1,0,0,0,0,0,0,1,1
1292,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,3.0,4.03,0,,5.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,0.0,1,0,0,0,0,0,0,0,1
1293,1.0,Shubman Gill,Kolkata Knight Riders,Varun Aaron,Rajasthan Royals,4.0,4.04,0,,5.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,1.0,1,0,0,0,1,0,0,0,0
1081,1.0,Shubman Gill,Kolkata Knight Riders,Oshane Thomas,Rajasthan Royals,6.0,1.06,0,,2.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
1080,1.0,Shubman Gill,Kolkata Knight Riders,Oshane Thomas,Rajasthan Royals,1.0,1.01,0,,2.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
1082,1.0,Shubman Gill,Kolkata Knight Riders,Oshane Thomas,Rajasthan Royals,1.0,3.01,0,,4.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,1.0,1,0,0,0,1,0,0,0,0
1084,1.0,Shubman Gill,Kolkata Knight Riders,Oshane Thomas,Rajasthan Royals,3.0,3.03,0,,4.0,PP,0.0,0.0,2019-04-25,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,1.0,1,1,0,0,0,0,0,0,0
602,1.0,Shubman Gill,Kolkata Knight Riders,Krunal Pandya,Mumbai Indians,1.0,7.01,0,,8.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,SLA,spin bowler,SLA,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
481,1.0,Shubman Gill,Kolkata Knight Riders,Hardik Pandya,Mumbai Indians,2.0,12.02,0,,13.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RMF,pace bowler,RAP,1.0,1.0,WIDE_OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,SLOG_SHOT,0.0,1,1,0,0,0,0,0,0,0
480,1.0,Shubman Gill,Kolkata Knight Riders,Hardik Pandya,Mumbai Indians,1.0,12.01,0,,13.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RMF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,0.0,1,0,0,0,0,0,0,0,1
599,1.0,Shubman Gill,Kolkata Knight Riders,Krunal Pandya,Mumbai Indians,6.0,1.06,0,,2.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,SLA,spin bowler,SLA,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,PUSH,1.0,1,1,0,0,0,0,0,0,0
600,1.0,Shubman Gill,Kolkata Knight Riders,Krunal Pandya,Mumbai Indians,1.0,3.01,0,,4.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,SLA,spin bowler,SLA,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
601,1.0,Shubman Gill,Kolkata Knight Riders,Krunal Pandya,Mumbai Indians,4.0,3.04,0,,4.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,SLA,spin bowler,SLA,1.0,1.0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
1278,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,1.0,0.01,0,,1.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,4.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,1,0,0,0,1,0,0,0,0
1285,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,2.0,8.02,0,,9.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,STRAIGHT_DRIVE,0.0,1,1,0,0,0,0,0,0,0
1284,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,1.0,8.01,0,,9.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,0,0,0,0,0,0,0,1
1283,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,6.0,0.06,0,,1.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,FLICK,0.0,1,0,0,0,0,0,0,0,1
1282,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,5.0,0.05,0,,1.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,PUSH,1.0,1,0,0,0,0,0,0,0,1
1280,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,3.0,0.03,0,,1.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,0.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,1,0,0,0,0,0,0,0,1
1279,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,2.0,0.02,0,,1.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,4.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,1.0,1,0,0,0,1,0,0,0,0
604,1.0,Shubman Gill,Kolkata Knight Riders,Krunal Pandya,Mumbai Indians,6.0,7.06,0,,8.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,SLA,spin bowler,SLA,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
1286,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,5.0,8.05,0,,9.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,3.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE,1.0,1,0,0,1,0,0,0,0,0
359,1.0,Shubman Gill,Kolkata Knight Riders,Jasprit Bumrah,Mumbai Indians,2.0,4.02,0,,5.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
360,1.0,Shubman Gill,Kolkata Knight Riders,Jasprit Bumrah,Mumbai Indians,6.0,4.06,0,,5.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,PUSH,1.0,1,1,0,0,0,0,0,0,0
361,1.0,Shubman Gill,Kolkata Knight Riders,Jasprit Bumrah,Mumbai Indians,1.0,10.01,0,,11.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE,1.0,1,0,0,0,1,0,0,0,0
362,1.0,Shubman Gill,Kolkata Knight Riders,Jasprit Bumrah,Mumbai Indians,2.0,10.02,0,,11.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,2.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,STEERED,1.0,1,0,1,0,0,0,0,0,0
363,1.0,Shubman Gill,Kolkata Knight Riders,Jasprit Bumrah,Mumbai Indians,3.0,10.03,0,,11.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,STEERED,1.0,1,1,0,0,0,0,0,0,0
364,1.0,Shubman Gill,Kolkata Knight Riders,Jasprit Bumrah,Mumbai Indians,6.0,10.06,0,,11.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT,PULL,0.0,1,1,0,0,0,0,0,0,0
603,1.0,Shubman Gill,Kolkata Knight Riders,Krunal Pandya,Mumbai Indians,5.0,7.05,0,,8.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,SLA,spin bowler,SLA,0.0,1.0,ON_THE_STUMPS,FULL,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
1281,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Mumbai Indians,4.0,0.04,0,,1.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,6.0,1.0,DOWN_LEG,SHORT,PULL,1.0,1,0,0,0,0,0,1,0,0
482,1.0,Shubman Gill,Kolkata Knight Riders,Hardik Pandya,Mumbai Indians,2.0,15.02,1,caught,16.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RMF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,SLOG_SHOT,1.0,1,0,0,0,0,0,0,1,1
0,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,1.0,2.01,0,,3.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,PUSH,1.0,1,1,0,0,0,0,0,0,0
210,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,1.0,6.01,0,,7.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,PUSH,1.0,1,1,0,0,0,0,0,0,0
9,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,3.0,14.03,0,,15.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,ON_THE_STUMPS,FULL,FLICK,1.0,1,1,0,0,0,0,0,0,0
219,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,2.0,13.02,0,,14.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,6.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,SLOG_SHOT,1.0,1,0,0,0,0,0,1,0,0
3,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,6.0,2.06,0,,3.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
8,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,2.0,14.02,0,,15.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,ON_THE_STUMPS,FULL,LEG_GLANCE,1.0,1,0,0,0,1,0,0,0,0
7,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,1.0,14.01,0,,15.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,0,0,0,1,0,0,0,0
2,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,5.0,2.05,0,,3.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,1,0,0,0,0,0,0,0,1
211,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,6.0,6.06,0,,7.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,ON_THE_STUMPS,FULL,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
5,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,4.0,5.04,0,,6.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,4.0,1.0,ON_THE_STUMPS,FULL_TOSS,FLICK,1.0,1,0,0,0,1,0,0,0,0
221,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,4.0,13.04,0,,14.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
214,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,4.0,9.04,0,,10.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
215,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,1.0,11.01,0,,12.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,PULL,1.0,1,1,0,0,0,0,0,0,0
212,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,1.0,9.01,0,,10.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,6.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,0,0,0,0,0,1,0,0
1,1.0,Shubman Gill,Kolkata Knight Riders,Lasith Malinga,Mumbai Indians,4.0,2.04,0,,3.0,PP,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,1,0,0,0,0,0,0,0,1
216,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,5.0,11.05,0,,12.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,6.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,STRAIGHT_DRIVE,1.0,1,0,0,0,0,0,1,0,0
213,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,2.0,9.02,0,,10.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
217,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Chahar,Mumbai Indians,6.0,11.06,0,,12.0,Middle,0.0,0.0,2019-04-28,2019.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT,PULL,1.0,1,1,0,0,0,0,0,0,0
