,date,team,inns_number,opposition,ground,dismissal,runs,balls,outs,dots,1s,2s,3s,4s,5s,6s,SR,Control%
675,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,0,1,0,1,0,0,0,0,0,0,0.0,100.0
789,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,0,2,0,2,0,0,0,0,0,0,0.0,50.0
2215,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,1,3,0,2,1,0,0,0,0,0,33.33,66.67
1761,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,2,4,0,2,2,0,0,0,0,0,50.0,75.0
562,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,2,5,0,3,2,0,0,0,0,0,40.0,80.0
2225,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,6,0,3,3,0,0,0,0,0,50.0,83.33
318,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,7,0,4,3,0,0,0,0,0,42.86,85.71
451,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,8,0,5,3,0,0,0,0,0,37.5,75.0
565,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",caught,3,9,1,6,3,0,0,0,0,0,33.33,66.67
1073,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,4,1,0,0,0,0,0,1,0,0,400.0,100.0
2068,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,5,2,0,0,1,0,0,1,0,0,250.0,100.0
2239,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,6,3,0,0,2,0,0,1,0,0,200.0,100.0
820,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,6,4,0,1,2,0,0,1,0,0,150.0,75.0
326,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",caught,6,5,1,2,2,0,0,1,0,0,120.0,60.0
1227,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,4,1,0,0,0,0,0,1,0,0,400.0,100.0
568,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,4,2,0,1,0,0,0,1,0,0,200.0,50.0
682,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,4,2,0,1,0,0,0,1,0,0,200.0,100.0
799,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,4,2,0,1,0,0,0,1,0,0,200.0,150.0
1418,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,6,3,0,1,0,1,0,1,0,0,200.0,100.0
1229,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,10,4,0,1,0,1,0,2,0,0,250.0,100.0
1777,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,11,5,0,1,1,1,0,2,0,0,220.0,100.0
2070,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,12,6,0,1,2,1,0,2,0,0,200.0,100.0
2241,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,13,7,0,1,3,1,0,2,0,0,185.71,100.0
2431,2018-04-21,Kolkata Knight Riders,1,Punjab Kings,"Eden Gardens, Kolkata",,14,8,0,1,4,1,0,2,0,0,175.0,100.0
250,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,0,1,0,1,0,0,0,0,0,0,0.0,100.0
389,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,0,2,0,2,0,0,0,0,0,0,0.0,50.0
517,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,0,3,0,3,0,0,0,0,0,0,0.0,33.33
1152,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,4,4,0,3,0,0,0,1,0,0,100.0,50.0
2290,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,5,5,0,3,1,0,0,1,0,0,100.0,60.0
1485,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,6,6,0,3,2,0,0,1,0,0,100.0,66.67
1847,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,7,7,0,3,3,0,0,1,0,0,100.0,71.43
760,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,7,8,0,4,3,0,0,1,0,0,87.5,75.0
1683,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,8,9,0,4,4,0,0,1,0,0,88.89,77.78
644,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,8,10,0,5,4,0,0,1,0,0,80.0,70.0
1398,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,10,11,0,5,4,1,0,1,0,0,90.91,72.73
860,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,16,12,0,5,4,1,0,1,0,1,133.33,75.0
2022,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,17,13,0,5,5,1,0,1,0,1,130.77,76.92
2336,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,18,14,0,5,6,1,0,1,0,1,128.57,71.43
1522,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,19,15,0,5,7,1,0,1,0,1,126.67,73.33
1166,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,23,16,0,5,7,1,0,2,0,1,143.75,75.0
2339,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,24,17,0,5,8,1,0,2,0,1,141.18,76.47
1538,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,25,18,0,5,9,1,0,2,0,1,138.89,77.78
778,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,25,19,0,6,9,1,0,2,0,1,131.58,78.95
1896,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,26,20,0,6,10,1,0,2,0,1,130.0,75.0
1564,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,27,21,0,6,11,1,0,2,0,1,128.57,76.19
785,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,27,22,0,7,11,1,0,2,0,1,122.73,77.27
2426,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,28,23,0,7,12,1,0,2,0,1,121.74,78.26
966,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,32,24,0,7,12,1,0,3,0,1,133.33,75.0
1735,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,33,25,0,7,13,1,0,3,0,1,132.0,76.0
1378,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,35,26,0,7,13,2,0,3,0,1,134.62,73.08
2385,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,36,27,0,7,14,2,0,3,0,1,133.33,74.07
1576,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,37,28,0,7,15,2,0,3,0,1,132.14,75.0
162,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",,37,29,0,8,15,2,0,3,0,1,127.59,72.41
445,2018-04-27,Kolkata Knight Riders,2,Delhi Capitals,"Feroz Shah Kotla, Delhi",run out,37,29,1,8,15,2,0,3,0,1,127.59,72.41
2406,2018-04-29,Kolkata Knight Riders,2,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
974,2018-04-29,Kolkata Knight Riders,2,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",,5,2,0,0,1,0,0,1,0,0,250.0,100.0
103,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,0,1,0,1,0,0,0,0,0,0,0.0,100.0
1003,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,4,2,0,1,0,0,0,1,0,0,200.0,100.0
395,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,4,3,0,2,0,0,0,1,0,0,133.33,100.0
1109,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,8,4,0,2,0,0,0,2,0,0,200.0,100.0
638,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,8,5,0,3,0,0,0,2,0,0,160.0,100.0
1203,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,12,6,0,3,0,0,0,3,0,0,200.0,100.0
1701,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,13,7,0,3,1,0,0,3,0,0,185.71,100.0
817,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,13,8,0,4,1,0,0,3,0,0,162.5,100.0
426,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,13,9,0,5,1,0,0,3,0,0,144.44,88.89
543,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,13,10,0,6,1,0,0,3,0,0,130.0,90.0
1167,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,17,11,0,6,1,0,0,4,0,0,154.55,90.91
2340,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,18,12,0,6,2,0,0,4,0,0,150.0,91.67
1541,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,19,13,0,6,3,0,0,4,0,0,146.15,92.31
1373,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,21,14,0,6,3,1,0,4,0,0,150.0,92.86
2359,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,22,15,0,6,4,1,0,4,0,0,146.67,93.33
142,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,22,16,0,7,4,1,0,4,0,0,137.5,87.5
298,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,22,17,0,8,4,1,0,4,0,0,129.41,88.24
1898,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,23,18,0,8,5,1,0,4,0,0,127.78,88.89
147,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,23,19,0,9,5,1,0,4,0,0,121.05,84.21
300,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,23,20,0,10,5,1,0,4,0,0,115.0,85.0
1063,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,27,21,0,10,5,1,0,5,0,0,128.57,85.71
2043,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,28,22,0,10,6,1,0,5,0,0,127.27,86.36
2424,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,29,23,0,10,7,1,0,5,0,0,126.09,86.96
1271,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,31,24,0,10,7,2,0,5,0,0,129.17,83.33
1739,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,32,25,0,10,8,2,0,5,0,0,128.0,80.0
2388,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,33,26,0,10,9,2,0,5,0,0,126.92,80.77
836,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,39,27,0,10,9,2,0,5,0,1,144.44,81.48
310,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,39,28,0,11,9,2,0,5,0,1,139.29,78.57
1330,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,41,29,0,11,9,3,0,5,0,1,141.38,79.31
885,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,47,30,0,11,9,3,0,5,0,2,156.67,80.0
2213,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,48,31,0,11,10,3,0,5,0,2,154.84,80.65
1277,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,50,32,0,11,10,4,0,5,0,2,156.25,81.25
1020,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,54,33,0,11,10,4,0,6,0,2,163.64,81.82
1919,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,55,34,0,11,11,4,0,6,0,2,161.76,79.41
1922,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,56,35,0,11,12,4,0,6,0,2,160.0,77.14
681,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,56,35,0,11,12,4,0,6,0,2,160.0,80.0
2399,2018-05-03,Kolkata Knight Riders,2,Chennai Super Kings,"Eden Gardens, Kolkata",,57,36,0,11,13,4,0,6,0,2,158.33,80.56
1602,2018-05-06,Kolkata Knight Riders,2,Mumbai Indians,"Wankhede Stadium, Mumbai",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
1430,2018-05-06,Kolkata Knight Riders,2,Mumbai Indians,"Wankhede Stadium, Mumbai",,2,2,0,0,2,0,0,0,0,0,100.0,100.0
933,2018-05-06,Kolkata Knight Riders,2,Mumbai Indians,"Wankhede Stadium, Mumbai",,6,3,0,0,2,0,0,1,0,0,200.0,100.0
1626,2018-05-06,Kolkata Knight Riders,2,Mumbai Indians,"Wankhede Stadium, Mumbai",,7,4,0,0,3,0,0,1,0,0,175.0,75.0
64,2018-05-06,Kolkata Knight Riders,2,Mumbai Indians,"Wankhede Stadium, Mumbai",caught,7,5,1,1,3,0,0,1,0,0,140.0,60.0
973,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,4,1,0,0,0,0,0,1,0,0,400.0,0.0
323,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,4,2,0,1,0,0,0,1,0,0,200.0,50.0
1928,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,5,3,0,1,1,0,0,1,0,0,166.67,66.67
2405,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,6,4,0,1,2,0,0,1,0,0,150.0,75.0
1595,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,7,5,0,1,3,0,0,1,0,0,140.0,80.0
1074,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,11,6,0,1,3,0,0,2,0,0,183.33,83.33
1135,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,15,7,0,1,3,0,0,3,0,0,214.29,85.71
2242,2018-05-12,Kolkata Knight Riders,1,Punjab Kings,"Holkar Cricket Stadium, Indore",,16,8,0,1,4,0,0,3,0,0,200.0,87.5
2165,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
2030,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,2,2,0,0,2,0,0,0,0,0,100.0,100.0
429,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,2,3,0,1,2,0,0,0,0,0,66.67,100.0
1120,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,6,4,0,1,2,0,0,1,0,0,150.0,100.0
2181,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,7,5,0,1,3,0,0,1,0,0,140.0,100.0
1731,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,8,6,0,1,4,0,0,1,0,0,133.33,100.0
670,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,8,7,0,2,4,0,0,1,0,0,114.29,100.0
2378,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,9,8,0,2,5,0,0,1,0,0,112.5,100.0
1561,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,10,9,0,2,6,0,0,1,0,0,111.11,100.0
1324,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,12,10,0,2,6,1,0,1,0,0,120.0,100.0
2044,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,13,11,0,2,7,1,0,1,0,0,118.18,100.0
783,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,13,12,0,3,7,1,0,1,0,0,108.33,100.0
1068,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,17,13,0,3,7,1,0,2,0,0,130.77,100.0
884,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,23,14,0,3,7,1,0,2,0,1,164.29,100.0
2208,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,24,15,0,3,8,1,0,2,0,1,160.0,100.0
968,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",,28,16,0,3,8,1,0,3,0,1,175.0,100.0
308,2018-05-23,Kolkata Knight Riders,1,Rajasthan Royals,"Eden Gardens, Kolkata",caught,28,17,1,4,8,1,0,3,0,1,164.71,94.12
2046,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
2381,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,2,2,0,0,2,0,0,0,0,0,100.0,100.0
1570,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,3,0,0,3,0,0,0,0,0,100.0,100.0
442,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,4,0,1,3,0,0,0,0,0,75.0,100.0
1346,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,5,5,0,1,3,1,0,0,0,0,100.0,100.0
2207,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,6,6,0,1,4,1,0,0,0,0,100.0,100.0
1577,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,7,7,0,1,5,1,0,0,0,0,100.0,100.0
1579,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,8,8,0,1,6,1,0,0,0,0,100.0,87.5
1128,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,12,9,0,1,6,1,0,1,0,0,133.33,88.89
2221,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,13,10,0,1,7,1,0,1,0,0,130.0,90.0
1586,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,14,11,0,1,8,1,0,1,0,0,127.27,90.91
566,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,14,12,0,2,8,1,0,1,0,0,116.67,91.67
2232,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,15,13,0,2,9,1,0,1,0,0,115.38,92.31
1770,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,16,14,0,2,10,1,0,1,0,0,114.29,92.86
2064,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,17,15,0,2,11,1,0,1,0,0,113.33,93.33
1220,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,21,16,0,2,11,1,0,2,0,0,131.25,93.75
1930,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,22,17,0,2,12,1,0,2,0,0,129.41,94.12
1384,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,24,18,0,2,12,2,0,2,0,0,133.33,88.89
918,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,30,19,0,2,12,2,0,2,0,1,157.89,89.47
455,2018-05-25,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",caught,30,20,1,3,12,2,0,2,0,1,150.0,85.0
561,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,0,1,0,1,0,0,0,0,0,0,0.0,100.0
2224,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,1,2,0,1,1,0,0,0,0,0,50.0,100.0
167,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,1,3,0,2,1,0,0,0,0,0,33.33,100.0
1309,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,4,0,2,1,1,0,0,0,0,75.0,100.0
1920,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,4,5,0,2,2,1,0,0,0,0,80.0,100.0
2230,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,5,6,0,2,3,1,0,0,0,0,83.33,100.0
2067,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,6,7,0,2,4,1,0,0,0,0,85.71,85.71
868,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,12,8,0,2,4,1,0,0,0,1,150.0,87.5
572,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,12,9,0,3,4,1,0,0,0,1,133.33,77.78
902,2019-03-24,Kolkata Knight Riders,2,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,18,10,0,3,4,1,0,0,0,2,180.0,80.0
2152,2019-03-30,Kolkata Knight Riders,1,Delhi Capitals,"Feroz Shah Kotla, Delhi",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
415,2019-03-30,Kolkata Knight Riders,1,Delhi Capitals,"Feroz Shah Kotla, Delhi",,1,2,0,1,1,0,0,0,0,0,50.0,50.0
537,2019-03-30,Kolkata Knight Riders,1,Delhi Capitals,"Feroz Shah Kotla, Delhi",,1,3,0,2,1,0,0,0,0,0,33.33,66.67
2162,2019-03-30,Kolkata Knight Riders,1,Delhi Capitals,"Feroz Shah Kotla, Delhi",,2,4,0,2,2,0,0,0,0,0,50.0,75.0
1262,2019-03-30,Kolkata Knight Riders,1,Delhi Capitals,"Feroz Shah Kotla, Delhi",run out,4,5,1,2,2,1,0,0,0,0,80.0,80.0
2433,2019-04-05,Kolkata Knight Riders,2,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
1594,2019-04-05,Kolkata Knight Riders,2,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",,2,2,0,0,2,0,0,0,0,0,100.0,100.0
1597,2019-04-05,Kolkata Knight Riders,2,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bangalore",,3,3,0,0,3,0,0,0,0,0,100.0,100.0
2363,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
1550,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,2,2,0,0,2,0,0,0,0,0,100.0,100.0
667,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,2,3,0,1,2,0,0,0,0,0,66.67,100.0
2373,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,3,4,0,1,3,0,0,0,0,0,75.0,100.0
1562,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,4,5,0,1,4,0,0,0,0,0,80.0,100.0
2048,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,5,6,0,1,5,0,0,0,0,0,83.33,100.0
153,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,5,7,0,2,5,0,0,0,0,0,71.43,85.71
306,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,5,8,0,3,5,0,0,0,0,0,62.5,87.5
1910,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,6,9,0,3,6,0,0,0,0,0,66.67,77.78
674,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,6,10,0,4,6,0,0,0,0,0,60.0,80.0
787,2019-04-07,Kolkata Knight Riders,2,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",,6,10,0,4,6,0,0,0,0,0,60.0,80.0
1474,2019-04-09,Kolkata Knight Riders,1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",,1,1,0,0,1,0,0,0,0,0,100.0,100.0
111,2019-04-09,Kolkata Knight Riders,1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",,1,2,0,1,1,0,0,0,0,0,50.0,100.0
269,2019-04-09,Kolkata Knight Riders,1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",,1,3,0,2,1,0,0,0,0,0,33.33,100.0
